,center_dist,price,Комнат,Площадь квартиры,Этаж,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Ремонт,Санузел,Кол-во санузлов,Высота потолков
59,5.9,18500000,1,40.6,10,есть,кирпич-монолит,подземная,13.3,15.0,Дизайнерский,совмещённый,1,2.9
60,23.8,15672895,2,62.1,3,есть,монолит,закрытая,27.0,,,,,
61,5.4,21000000,1,46.0,17,,монолит,подземная,25.0,16.8,Дизайнерский,совмещённый,1,2.75
62,10.5,15300000,2,46.3,1,,кирпич,открытая,29.3,7.3,Евро,совмещённый,1,2.8
63,5.2,21122960,1,46.1,10,есть,кирпич-монолит,закрытая,,,,,,
64,9.8,20500000,2,53.0,12,есть,монолит,подземная,34.0,10.8,Дизайнерский,раздельный,1,2.8
65,7.9,30101354,2,56.6,22,,,,22.3,,,,2,3.15
66,9.8,18500000,2,44.5,25,есть,монолит,подземная,24.5,13.8,Дизайнерский,совмещённый,1,2.8
67,7.9,21544931,1,39.7,20,,,,11.9,,,совмещённый,1,3.15
68,5.2,29599620,2,61.4,15,есть,кирпич-монолит,закрытая,,,,,,
69,7.8,24000000,1,43.0,7,есть,кирпич-монолит,подземная,23.0,10.0,Дизайнерский,совмещённый,1,3.0
70,12.7,15182874,1,36.9,14,,монолит,,11.3,5.1,,,,
71,12.9,27500000,2,53.0,19,есть,кирпич-монолит,подземная,29.0,12.0,Дизайнерский,совмещённый,1,2.8
72,5.2,27932520,2,60.5,13,есть,кирпич-монолит,закрытая,,,,,,
73,16.8,17000000,2,55.0,16,есть,кирпич-монолит,подземная,36.0,12.0,Дизайнерский,,2,2.8
74,12.3,25961507,2,58.6,17,,монолит,,42.3,4.0,,,,
75,11.5,23400000,1,38.0,2,,монолит,,14.0,20.0,Дизайнерский,совмещённый,1,
76,5.2,34607040,2,73.3,13,есть,кирпич-монолит,закрытая,,,,,,
77,5.2,20424610,1,47.2,6,есть,кирпич-монолит,закрытая,,,,,,
78,6.5,19300000,2,73.2,16,есть,монолит,подземная,45.6,12.0,Хороший,,2,2.8
79,7.9,32480911,2,80.1,5,,,,29.5,,,,2,3.15
80,4.1,28000000,2,49.5,32,есть,монолит,подземная,20.0,15.0,Дизайнерский,совмещённый,1,3.0
81,20.1,15500000,2,68.8,2,,,,38.3,10.0,Хороший,совмещённый,2,2.7
82,5.5,33000000,2,65.0,12,есть,монолит,подземная,44.0,10.0,Дизайнерский,совмещённый,1,3.0
83,5.3,19900000,1,50.0,14,есть,монолит,подземная,18.0,15.0,Дизайнерский,совмещённый,1,3.0
84,4.0,83316904,3,123.8,25,есть,монолит,закрытая,48.4,30.8,,,3,3.18
85,12.3,18310260,1,35.1,15,,монолит,,25.2,3.8,,,,
86,4.1,35000000,1,49.2,27,есть,монолит,подземная,20.0,12.0,Дизайнерский,совмещённый,1,2.9
87,15.5,21590000,1,50.8,32,есть,кирпич-монолит,,12.8,,,,,3.0
88,6.3,26500000,1,45.8,3,,,,20.8,16.1,Дизайнерский,совмещённый,1,3.2
89,23.7,24000000,5,112.5,4,есть,панель,открытая,65.0,12.0,Хороший,совмещённый,2,2.64
90,5.2,20892360,1,46.1,9,есть,кирпич-монолит,закрытая,,,,,,
91,19.3,17632689,2,53.1,10,,,,23.0,17.6,,,,
92,7.1,34499000,2,65.5,35,есть,монолит,подземная,45.0,9.0,Дизайнерский,совмещённый,1,3.2
93,9.2,43714751,3,98.8,11,есть,монолит,закрытая,44.3,23.3,,,2,3.0
94,10.1,34000000,2,67.0,2,есть,монолит,,35.0,12.4,Дизайнерский,совмещённый,1,3.0
95,5.7,30500000,3,67.5,5,есть,кирпич-монолит,подземная,41.0,6.1,Дизайнерский,совмещённый,2,2.85
96,12.3,26632359,2,58.6,14,,монолит,,38.4,5.2,,,,
97,,20100000,1,36.0,9,есть,панель,,18.0,9.0,Евро,совмещённый,1,
98,3.9,30000000,1,47.0,2,есть,монолит,подземная,24.0,6.5,Чистовая отделка,совмещённый,1,3.3
99,5.2,21122960,1,46.1,9,есть,кирпич-монолит,закрытая,,,,,,
100,8.4,34990000,4,90.0,5,есть,монолит,,,24.0,Дизайнерский,совмещённый,2,3.2
101,5.2,28241550,2,58.2,15,есть,кирпич-монолит,закрытая,,,,,,
102,7.9,35450693,3,82.8,3,,,,41.4,,,,2,3.15
103,19.3,17890489,2,53.1,14,,,,23.0,17.6,,,,
104,5.2,15397760,,34.4,8,есть,кирпич-монолит,закрытая,,,,,,
105,7.9,30288738,2,75.1,5,,,,30.9,,,,2,3.15
106,,179000000,5,153.2,3,,монолит,,65.6,17.7,Дизайнерский,совмещённый,2,3.38
107,16.3,16700000,2,48.0,1,есть,монолит,открытая,24.0,15.0,Дизайнерский,совмещённый,1,2.7
108,7.9,27471148,2,58.3,9,,,,25.1,,,совмещённый,1,3.15
109,6.2,45000000,4,113.7,9,есть,кирпич-монолит,,53.9,29.0,Чистовая отделка,раздельный,3,3.0
110,22.0,16000000,1,51.0,16,есть,монолит,подземная,19.7,13.7,Евро,совмещённый,1,2.7
111,24.8,15938000,2,61.3,12,есть,панель,закрытая,29.6,13.4,,,,2.84
112,5.2,18451800,1,45.6,3,есть,кирпич-монолит,закрытая,,,,,,
113,6.4,30300000,1,42.0,13,есть,монолит,подземная,12.8,19.1,Дизайнерский,совмещённый,1,3.1
114,7.9,30108572,2,58.9,12,,,,23.1,,,,2,3.15
115,5.2,33061600,2,74.8,9,есть,кирпич-монолит,закрытая,,,,,,
116,9.1,15800000,2,44.0,8,,кирпич,,31.0,6.0,Хороший,совмещённый,1,2.8
117,12.3,20500000,2,39.0,6,есть,монолит,подземная,20.0,10.0,Евро,,,3.1
118,19.3,18889775,2,52.9,22,,,,23.5,17.8,,,,
119,7.1,30000000,2,86.0,21,есть,монолит,подземная,40.0,18.0,Чистовая отделка,совмещённый,2,2.7
120,4.6,30000000,2,76.5,13,есть,монолит,подземная,43.5,12.3,Евро,совмещённый,2,2.8
121,7.7,27400000,4,80.0,4,есть,кирпич-монолит,подземная,40.0,20.0,Дизайнерский,совмещённый,2,2.85
122,19.3,17961718,2,53.2,13,,,,25.9,14.0,,,,
123,7.2,19800000,2,47.0,2,есть,монолит,подземная,22.0,12.0,Дизайнерский,совмещённый,1,3.0
124,13.9,30670070,3,85.8,2,,монолит,,42.2,21.8,,,,
125,,67201279,4,121.7,2,есть,монолит,закрытая,,,,,,3.1
126,7.1,34400000,3,70.0,11,есть,монолит,подземная,40.0,18.0,Дизайнерский,совмещённый,1,3.0
127,5.2,27874840,2,61.7,9,есть,кирпич-монолит,закрытая,,,,,,
128,12.3,19054695,1,35.2,25,,монолит,,25.3,3.8,,,,
129,4.0,30000000,2,66.3,19,есть,кирпич,подземная,51.0,11.0,Чистовая отделка,совмещённый,2,2.55
130,5.2,31247800,2,67.9,12,есть,кирпич-монолит,закрытая,,,,,,
131,12.3,41888282,3,73.6,40,,монолит,,49.8,2.8,,,,
132,8.9,35000000,1,44.0,11,,кирпич-монолит,,25.0,10.0,Дизайнерский,совмещённый,1,
133,10.2,37500000,5,115.0,16,есть,панель,подземная,75.0,12.0,Хороший,совмещённый,2,2.7
134,11.1,25800000,2,56.4,8,есть,монолит,закрытая,26.6,11.7,Дизайнерский,,2,3.1
135,12.3,24022219,2,57.4,4,,монолит,,37.7,5.1,,,,
136,,149027732,4,152.1,29,есть,монолит,закрытая,,,,,,3.1
137,5.2,21413200,1,45.6,15,есть,кирпич-монолит,закрытая,,,,,,
138,7.9,28244883,2,56.6,13,,,,22.3,,,,2,3.15
139,6.5,34500000,3,84.0,4,есть,кирпич,закрытая,45.0,15.0,Дизайнерский,совмещённый,1,3.0
140,4.0,22000000,1,41.6,2,есть,монолит,подземная,20.0,9.0,Чистовая отделка,совмещённый,1,3.1
141,5.2,21720640,1,52.7,4,есть,кирпич-монолит,закрытая,,,,,,
142,16.3,22500000,2,75.0,11,есть,монолит,подземная,55.0,10.0,Дизайнерский,совмещённый,1,2.8
143,3.9,20700000,1,39.0,18,есть,кирпич-монолит,подземная,19.0,13.0,Чистовая отделка,совмещённый,1,2.8
144,9.6,24200000,1,43.2,36,,монолит,,20.0,10.0,Дизайнерский,совмещённый,1,
145,19.3,17277715,2,53.1,16,,,,23.0,17.6,,,,
146,7.2,27000000,2,68.0,11,есть,монолит,подземная,30.0,12.0,Дизайнерский,совмещённый,1,3.0
147,5.2,65208000,3,114.0,13,есть,кирпич-монолит,закрытая,,,,,,
148,8.9,24500000,1,48.0,24,есть,монолит,открытая,22.0,16.0,Чистовая отделка,раздельный,1,3.0
149,10.9,16000000,1,42.0,14,есть,монолит,подземная,20.0,8.0,Дизайнерский,совмещённый,1,3.15
150,23.0,23903063,3,87.4,12,есть,монолит,закрытая,52.4,,,,,
151,22.2,15500000,2,71.0,9,есть,кирпич-монолит,открытая,55.3,11.1,Дизайнерский,раздельный,1,2.75
152,5.2,28868040,2,60.5,15,есть,кирпич-монолит,закрытая,,,,,,
153,12.3,15338462,,24.9,40,,монолит,,11.9,,,,,
154,7.1,36000000,2,64.1,23,есть,монолит,подземная,41.0,12.0,Хороший,совмещённый,2,2.9
155,15.5,20675600,1,50.8,15,есть,кирпич-монолит,подземная,12.8,,,,,3.0
156,4.0,35788358,1,50.8,14,есть,монолит,закрытая,14.4,4.1,,,2,3.0
157,12.1,22000000,2,49.0,21,есть,монолит,,35.0,8.0,Дизайнерский,совмещённый,2,3.1
158,22.1,15000000,1,49.0,11,есть,монолит,подземная,16.7,14.9,Евро,совмещённый,1,2.7
159,12.3,18847528,1,35.8,25,,монолит,,25.6,3.4,,,,
160,7.9,25961292,2,58.8,8,,,,26.0,,,,2,3.15
161,6.2,38500000,2,84.0,4,есть,монолит,подземная,50.0,10.0,Дизайнерский,,2,3.2
162,5.7,17000000,1,45.0,8,есть,монолит,подземная,23.0,9.0,Евро,,2,3.0
163,15.5,16858786,1,45.2,33,есть,кирпич-монолит,подземная,12.6,16.2,,,,3.0
164,6.7,32000000,1,58.0,12,есть,монолит,подземная,28.0,19.0,Дизайнерский,,,2.9
165,5.2,28380660,2,61.4,11,есть,кирпич-монолит,закрытая,,,,,,
166,7.1,23350000,2,50.0,3,есть,монолит,подземная,30.0,12.0,Дизайнерский,совмещённый,1,3.0
167,9.2,31737462,3,76.7,21,есть,монолит,закрытая,42.4,22.0,,,2,3.0
168,5.2,22413830,1,48.4,11,есть,кирпич-монолит,закрытая,,,,,,
169,17.5,23000000,2,67.6,16,,кирпич,,36.0,12.7,Чистовая отделка,,,
170,12.3,16849004,1,35.6,6,,монолит,,24.2,4.8,,,,
171,5.7,19500000,1,43.6,5,есть,панель,подземная,20.0,8.0,Чистовая отделка,совмещённый,1,2.85
172,,51969944,2,52.0,24,есть,монолит,закрытая,,,,,,3.1
173,15.1,17500000,1,42.3,11,,монолит,,16.2,12.2,Евро,,,
174,13.5,16495000,1,44.5,1,есть,монолит,,17.6,16.5,Евро,совмещённый,1,3.2
175,5.4,37950000,,47.0,78,есть,монолит,подземная,,,Дизайнерский,совмещённый,1,
176,12.3,20002462,1,34.9,40,,монолит,,23.7,3.9,,,,
177,6.9,65000000,3,87.0,12,есть,монолит,подземная,60.0,15.0,Дизайнерский,совмещённый,2,3.15
178,5.2,24173240,1,52.8,10,есть,кирпич-монолит,закрытая,,,,,,
179,5.2,32606400,2,67.9,16,есть,кирпич-монолит,закрытая,,,,,,
180,5.2,34544630,2,75.6,11,есть,кирпич-монолит,закрытая,,,,,,
181,5.5,17700000,,30.0,10,есть,панель,открытая,15.0,,Дизайнерский,совмещённый,1,3.0
182,15.5,24103760,2,59.9,34,есть,кирпич-монолит,подземная,24.0,12.3,,,,3.0
183,9.7,25500000,2,53.0,30,есть,монолит,,14.1,25.5,Дизайнерский,совмещённый,1,3.1
184,3.9,15000000,,20.6,22,есть,,подземная,9.0,,Чистовая отделка,совмещённый,1,3.2
185,12.9,20000000,2,46.0,17,есть,кирпич-монолит,подземная,17.0,21.3,Дизайнерский,совмещённый,1,2.85
186,6.9,17000000,,34.8,22,есть,монолит,подземная,18.0,,Дизайнерский,совмещённый,1,3.0
187,12.3,19841140,1,37.1,35,,монолит,,26.8,3.5,,,,
188,,73871538,4,120.7,18,есть,монолит,закрытая,,,,,,3.1
189,5.2,27105600,2,56.5,16,есть,кирпич-монолит,закрытая,,,,,,
190,7.7,15900000,,31.0,2,,,,12.0,,Чистовая отделка,,,3.1
191,4.0,81920445,3,108.3,18,есть,монолит,закрытая,46.2,32.1,,,3,3.0
192,12.9,17500000,1,35.0,11,есть,кирпич-монолит,подземная,20.0,4.0,Дизайнерский,раздельный,1,2.8
193,15.5,22686840,2,56.1,20,есть,кирпич-монолит,подземная,27.0,11.2,,,,3.0
194,5.2,25169080,2,61.1,2,есть,кирпич-монолит,закрытая,,,,,,
195,4.1,29870000,3,69.0,24,есть,монолит,подземная,44.0,17.0,Дизайнерский,совмещённый,2,3.0
196,7.8,32000000,2,62.0,27,,,,40.0,10.0,Дизайнерский,,,2.95
197,15.5,22201560,2,54.9,20,есть,кирпич-монолит,,28.3,10.2,,,,3.0
198,3.9,23000000,1,39.6,9,есть,кирпич-монолит,подземная,13.0,19.7,Чистовая отделка,совмещённый,1,3.1
199,23.0,23903063,3,87.4,12,есть,монолит,закрытая,52.4,,,,,
200,8.9,26000000,1,42.7,17,есть,монолит,подземная,23.0,10.5,Дизайнерский,совмещённый,1,3.0
201,5.2,30530710,2,61.4,16,есть,кирпич-монолит,закрытая,,,,,,
202,8.4,39000000,3,112.0,31,есть,монолит,подземная,80.0,15.0,Дизайнерский,совмещённый,2,2.8
203,5.2,21736150,1,47.2,12,есть,кирпич-монолит,закрытая,,,,,,
204,4.0,31000000,2,66.3,14,,кирпич-монолит,подземная,42.0,10.0,Чистовая отделка,,,3.0
205,7.1,26000000,3,71.0,14,есть,монолит,подземная,40.0,15.0,Дизайнерский,совмещённый,1,3.0
206,3.9,17000000,,27.6,9,есть,монолит,подземная,16.0,,Чистовая отделка,совмещённый,1,3.1
207,5.2,31369850,3,75.6,3,есть,кирпич-монолит,закрытая,,,,,,
208,5.2,35376120,3,75.6,11,есть,кирпич-монолит,закрытая,,,,,,
209,5.2,16253440,1,36.3,8,есть,кирпич-монолит,закрытая,,,,,,
210,22.2,17000000,1,56.0,26,есть,монолит,,20.2,18.3,Евро,совмещённый,1,2.7
211,9.2,27012102,2,60.8,2,есть,монолит,закрытая,22.6,18.7,,,2,3.0
212,23.8,15186077,2,56.4,16,есть,монолит,закрытая,28.9,,,,,
213,4.8,23300000,2,50.0,3,,монолит,,25.0,18.0,Дизайнерский,совмещённый,1,
214,7.1,29500000,1,57.0,32,есть,монолит,подземная,37.0,9.0,Дизайнерский,совмещённый,1,3.2
215,7.1,33500000,3,71.0,13,есть,монолит,подземная,40.0,17.0,Дизайнерский,совмещённый,2,3.0
216,9.2,20782194,1,39.9,16,есть,монолит,закрытая,14.5,16.6,,совмещённый,1,3.0
217,24.8,16592550,3,76.2,12,есть,панель,закрытая,43.9,12.2,,,,2.84
218,13.1,23000000,2,53.0,4,есть,кирпич-монолит,подземная,29.0,12.0,Дизайнерский,совмещённый,1,2.8
219,8.1,26400000,2,55.0,20,,,,30.0,10.0,Дизайнерский,,,2.9
220,5.2,20661760,1,46.1,8,есть,кирпич-монолит,закрытая,,,,,,
221,6.6,24000000,1,35.5,6,есть,монолит,подземная,16.0,12.0,Дизайнерский,совмещённый,1,2.9
222,15.5,18810600,1,42.8,20,есть,кирпич-монолит,подземная,11.1,15.4,,,,3.0
223,16.4,25412447,2,69.5,16,,монолит,,30.9,24.8,,,,
224,6.4,24500000,2,45.4,9,есть,монолит,подземная,15.5,20.0,Евро,,,2.9
225,11.0,16700000,,30.0,4,есть,монолит,,20.0,,Дизайнерский,совмещённый,1,
226,5.2,20062200,1,46.1,5,есть,кирпич-монолит,закрытая,,,,,,
227,7.9,36964292,2,75.1,22,,,,30.9,,,,2,3.15
228,5.2,17178030,1,40.6,7,есть,кирпич-монолит,закрытая,,,,,,
229,12.1,15450000,2,45.0,1,есть,монолит,подземная,20.0,5.0,Евро,совмещённый,1,3.1
230,5.2,20821460,1,44.0,14,есть,кирпич-монолит,закрытая,,,,,,
231,23.8,25572839,4,109.6,13,есть,монолит,закрытая,56.6,,,,,
232,5.8,27500000,2,68.8,6,есть,панель,подземная,41.0,12.0,Чистовая отделка,совмещённый,1,2.85
233,7.1,18000000,2,47.0,4,есть,монолит,подземная,25.0,12.0,Дизайнерский,совмещённый,1,3.0
234,12.9,15700000,1,37.1,34,есть,кирпич-монолит,подземная,18.0,8.0,Дизайнерский,совмещённый,1,2.85
235,12.3,18272844,1,35.1,13,,монолит,,25.2,3.8,,,,
236,12.3,17247828,1,35.7,7,,монолит,,24.5,5.1,,,,
237,5.8,19000000,1,40.2,20,есть,панель,подземная,20.0,8.0,Чистовая отделка,совмещённый,1,2.85
238,12.3,17391342,1,35.7,9,,монолит,,24.5,5.1,,,,
239,6.8,31499999,2,67.0,5,есть,монолит,подземная,42.0,15.0,Евро,совмещённый,2,3.0
240,15.5,21927060,2,54.9,15,есть,кирпич-монолит,подземная,28.3,10.2,,,,3.0
241,22.1,23985000,2,72.0,6,есть,монолит,открытая,30.4,25.0,Евро,раздельный,2,2.7
242,12.3,24710145,2,52.5,14,,монолит,,35.3,3.9,,,,
243,5.2,69503500,3,126.4,8,есть,кирпич-монолит,закрытая,,,,,,
244,6.8,26500000,3,67.0,10,есть,кирпич-монолит,подземная,35.0,15.0,Дизайнерский,совмещённый,2,2.8
245,3.9,16800000,,27.6,8,есть,монолит,подземная,16.0,,Чистовая отделка,совмещённый,1,3.1
246,23.8,16183804,2,62.1,14,есть,монолит,закрытая,27.0,,,,,
247,9.0,35000000,2,43.8,10,,кирпич-монолит,,25.0,15.0,Дизайнерский,совмещённый,1,
248,12.3,31531562,2,61.7,35,,монолит,,41.0,5.5,,,,
249,13.6,32000000,4,100.0,3,есть,монолит,,70.0,10.0,Евро,совмещённый,1,
250,12.1,30000000,3,60.0,9,есть,кирпич,подземная,38.0,12.0,Дизайнерский,совмещённый,1,3.0
251,7.8,35000000,2,62.4,9,есть,кирпич-монолит,подземная,31.8,14.0,Дизайнерский,,3,3.0
252,11.8,80000000,3,160.0,30,есть,кирпич-монолит,подземная,91.8,19.7,Дизайнерский,совмещённый,2,3.1
253,,92905202,3,94.9,27,есть,монолит,закрытая,,,,,,3.1
254,7.9,18147522,,30.4,9,,,,13.5,,,совмещённый,1,3.15
255,10.5,22399000,2,57.0,27,есть,монолит,подземная,40.0,12.0,Дизайнерский,совмещённый,1,2.95
256,7.1,34900000,3,72.0,17,есть,монолит,подземная,40.0,15.0,Дизайнерский,,2,3.0
257,7.9,33114703,2,58.6,21,,,,25.2,,,совмещённый,1,3.15
258,5.2,30908150,2,67.9,11,есть,кирпич-монолит,закрытая,,,,,,
259,12.8,33000000,3,82.9,13,есть,кирпич-монолит,подземная,57.0,5.7,Чистовая отделка,раздельный,2,3.0
260,15.5,22238040,2,56.1,12,есть,кирпич-монолит,,27.0,11.2,,,,3.0
261,12.3,17880250,1,35.1,13,,монолит,,24.3,4.8,,,,
262,3.9,20000000,,34.0,2,есть,монолит,подземная,15.0,,Чистовая отделка,совмещённый,1,3.3
263,5.2,42222900,3,82.8,11,есть,кирпич-монолит,закрытая,,,,,,
264,5.3,23000000,2,56.0,14,есть,монолит,подземная,33.0,11.0,Дизайнерский,совмещённый,1,3.1
265,9.2,30290910,2,65.0,20,есть,монолит,закрытая,25.4,24.7,,,2,3.0
266,5.2,31143080,3,75.6,2,есть,кирпич-монолит,закрытая,,,,,,
267,3.9,25750000,1,41.9,6,есть,монолит,подземная,21.1,4.0,Чистовая отделка,,3,3.3
268,12.4,21800000,1,36.0,17,есть,монолит,подземная,20.0,10.0,Дизайнерский,совмещённый,1,3.1
269,12.3,17734410,1,35.1,11,,монолит,,24.3,4.8,,,,
270,23.8,18642960,3,86.7,6,есть,монолит,закрытая,40.2,,,,,
271,15.4,24000000,3,53.0,6,есть,монолит,подземная,30.0,18.0,Евро,совмещённый,1,3.1
272,9.2,30284823,2,68.2,11,есть,монолит,закрытая,26.8,25.0,,,2,3.0
273,12.0,15000000,,30.0,9,есть,кирпич-монолит,,15.0,,Дизайнерский,совмещённый,1,3.0
274,4.0,21700000,2,51.0,9,есть,кирпич,открытая,32.0,8.0,Евро,совмещённый,1,2.75
275,13.9,24074136,2,66.0,2,,монолит,,26.7,29.7,,,,
276,5.2,37255500,3,82.8,7,есть,кирпич-монолит,закрытая,,,,,,
277,12.7,23000000,3,71.6,22,есть,монолит,подземная,45.0,15.0,Евро,совмещённый,1,2.8
278,4.1,33000000,3,70.0,37,есть,монолит,подземная,45.0,6.0,Дизайнерский,совмещённый,2,3.1
279,6.1,16500000,1,47.4,24,есть,кирпич-монолит,подземная,22.0,10.0,Евро,совмещённый,1,2.7
280,6.9,35000000,2,68.2,26,есть,кирпич-монолит,,27.7,17.8,Дизайнерский,совмещённый,2,
281,5.2,22275960,1,46.1,15,есть,кирпич-монолит,закрытая,,,,,,
282,5.2,20544120,1,46.0,7,есть,кирпич-монолит,закрытая,,,,,,
283,5.2,32545800,2,66.2,12,есть,кирпич-монолит,закрытая,,,,,,
284,7.9,26195538,2,57.9,2,,,,24.9,,,совмещённый,1,3.15
285,12.3,19819591,1,37.2,34,,монолит,,26.9,3.5,,,,
286,4.1,26500000,1,42.1,21,есть,кирпич-монолит,подземная,20.0,5.0,Дизайнерский,совмещённый,1,3.0
287,10.5,23500000,2,69.0,25,есть,монолит,подземная,40.0,15.0,Дизайнерский,совмещённый,1,2.95
288,4.0,24000000,1,45.5,25,есть,монолит,подземная,20.0,11.0,Чистовая отделка,,2,3.2
289,6.0,23000000,1,37.0,7,есть,монолит,подземная,14.0,11.2,Евро,совмещённый,1,3.0
290,5.2,39528060,3,89.4,2,есть,кирпич-монолит,закрытая,,,,,,
291,5.2,20835880,1,47.1,6,есть,кирпич-монолит,закрытая,,,,,,
292,12.3,31085037,2,69.5,11,,монолит,,45.3,5.8,,,,
